18420;30.03.21 14:47:34;22;Avvicinamento pre-pressata pressata Fuori Ingombro;position > max position (10);20210330111412P0003;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;66,05;0,03;0,00;0,00;
0,00;0,00;66,59;0,02;0,00;0,00;
0,00;0,00;67,63;0,01;0,00;0,00;
0,00;0,00;69,18;0,04;0,00;0,00;
0,00;0,00;71,24;0,03;0,00;0,00;
0,00;0,00;73,82;0,03;0,00;0,00;
0,00;0,00;76,90;0,04;0,00;0,00;
0,00;0,00;80,38;0,01;0,00;0,00;
0,00;0,00;83,89;0,02;0,00;0,00;
0,00;0,00;87,41;0,02;0,00;0,00;
0,00;0,00;90,93;0,02;0,00;0,00;
0,00;0,00;97,97;0,01;0,00;0,00;
0,00;0,00;101,49;0,03;0,00;0,00;
0,00;0,00;104,89;-0,02;0,00;0,00;
0,00;0,00;112,19;-0,01;0,00;0,00;
0,00;0,00;113,62;-0,01;0,00;0,00;
0,00;0,00;114,54;-0,01;0,00;0,00;
0,00;0,00;114,96;-0,02;0,00;0,00;
0,00;0,00;115,01;-0,01;0,00;0,00;
0,00;0,00;115,01;0,01;0,00;0,00;
0,00;0,00;125,12;0,07;0,00;0,00;
0,00;0,00;125,18;0,28;0,00;0,00;
0,00;0,00;125,24;0,40;0,00;0,00;
0,00;0,00;125,31;0,46;0,00;0,00;
0,00;0,00;125,37;0,47;0,00;0,00;
0,00;0,00;125,44;0,50;0,00;0,00;
0,00;0,00;125,50;0,53;0,00;0,00;
0,00;0,00;125,56;0,56;0,00;0,00;
0,00;0,00;125,63;0,58;0,00;0,00;
0,00;0,00;125,69;0,61;0,00;0,00;
0,00;0,00;125,76;0,62;0,00;0,00;
0,00;0,00;125,82;0,66;0,00;0,00;
0,00;0,00;125,88;0,68;0,00;0,00;
0,00;0,00;125,95;0,68;0,00;0,00;
0,00;0,00;126,01;0,67;0,00;0,00;
0,00;0,00;126,08;0,70;0,00;0,00;
0,00;0,00;126,14;0,72;0,00;0,00;
0,00;0,00;126,20;0,73;0,00;0,00;
0,00;0,00;126,27;0,74;0,00;0,00;
0,00;0,00;126,33;0,76;0,00;0,00;
0,00;0,00;126,40;0,76;0,00;0,00;
0,00;0,00;126,46;0,80;0,00;0,00;
0,00;0,00;126,52;0,78;0,00;0,00;
0,00;0,00;126,59;0,82;0,00;0,00;
0,00;0,00;126,65;0,82;0,00;0,00;
0,00;0,00;126,72;0,83;0,00;0,00;
0,00;0,00;126,78;0,84;0,00;0,00;
0,00;0,00;126,84;0,85;0,00;0,00;
0,00;0,00;126,91;0,85;0,00;0,00;
0,00;0,00;126,97;0,86;0,00;0,00;
0,00;0,00;127,04;0,88;0,00;0,00;
0,00;0,00;127,10;0,88;0,00;0,00;
0,00;0,00;127,17;0,88;0,00;0,00;
0,00;0,00;127,23;0,89;0,00;0,00;
0,00;0,00;127,29;0,91;0,00;0,00;
0,00;0,00;127,36;0,90;0,00;0,00;
0,00;0,00;127,42;0,88;0,00;0,00;
0,00;0,00;127,48;0,93;0,00;0,00;
0,00;0,00;127,55;0,91;0,00;0,00;
0,00;0,00;127,61;0,93;0,00;0,00;
0,00;0,00;127,68;0,96;0,00;0,00;
0,00;0,00;127,74;0,95;0,00;0,00;
0,00;0,00;127,80;0,97;0,00;0,00;
0,00;0,00;127,87;0,99;0,00;0,00;
