5107;15.12.20 08:38:17;10;Repair_strategy;start interrupted (14);20201210110906A0218;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;14,13;0,17;0,00;0,00;
0,00;0,00;14,67;0,13;0,00;0,00;
0,00;0,00;15,70;0,11;0,00;0,00;
0,00;0,00;17,23;0,11;0,00;0,00;
0,00;0,00;19,28;0,20;0,00;0,00;
0,00;0,00;21,84;0,22;0,00;0,00;
0,00;0,00;24,86;-0,00;0,00;0,00;
0,00;0,00;28,02;0,11;0,00;0,00;
0,00;0,00;31,19;0,20;0,00;0,00;
0,00;0,00;34,44;-0,00;0,00;0,00;
0,00;0,00;37,62;0,17;0,00;0,00;
0,00;0,00;40,83;0,09;0,00;0,00;
0,00;0,00;44,03;0,13;0,00;0,00;
0,00;0,00;47,23;0,13;0,00;0,00;
0,00;0,00;50,43;0,04;0,00;0,00;
0,00;0,00;53,63;0,11;0,00;0,00;
0,00;0,00;56,83;0,06;0,00;0,00;
0,00;0,00;60,03;0,16;0,00;0,00;
0,00;0,00;63,23;0,11;0,00;0,00;
0,00;0,00;66,43;0,04;0,00;0,00;
0,00;0,00;69,63;0,16;0,00;0,00;
0,00;0,00;72,83;0,04;0,00;0,00;
0,00;0,00;76,03;0,11;0,00;0,00;
0,00;0,00;79,23;0,09;0,00;0,00;
0,00;0,00;82,43;0,04;0,00;0,00;
0,00;0,00;85,63;0,13;0,00;0,00;
0,00;0,00;88,83;0,02;0,00;0,00;
0,00;0,00;92,03;0,13;0,00;0,00;
0,00;0,00;95,23;0,16;0,00;0,00;
0,00;0,00;98,43;0,06;0,00;0,00;
0,00;0,00;101,63;0,09;0,00;0,00;
0,00;0,00;104,83;0,06;0,00;0,00;
0,00;0,00;108,03;0,13;0,00;0,00;
0,00;0,00;111,23;0,11;0,00;0,00;
0,00;0,00;114,43;0,06;0,00;0,00;
0,00;0,00;117,63;0,13;0,00;0,00;
0,00;0,00;120,83;0,06;0,00;0,00;
0,00;0,00;124,03;0,16;0,00;0,00;
0,00;0,00;127,23;0,09;0,00;0,00;
0,00;0,00;130,43;0,04;0,00;0,00;
0,00;0,00;133,63;0,13;0,00;0,00;
0,00;0,00;136,83;0,06;0,00;0,00;
0,00;0,00;140,03;0,09;0,00;0,00;
0,00;0,00;143,23;0,15;0,00;0,00;
0,00;0,00;146,43;0,02;0,00;0,00;
0,00;0,00;149,63;0,13;0,00;0,00;
0,00;0,00;152,83;0,06;0,00;0,00;
0,00;0,00;156,03;0,16;0,00;0,00;
0,00;0,00;159,20;-0,07;0,00;0,00;
0,00;0,00;161,89;0,02;0,00;0,00;
0,00;0,00;164,16;0,02;0,00;0,00;
0,00;0,00;165,95;-0,03;0,00;0,00;
0,00;0,00;167,24;-0,03;0,00;0,00;
0,00;0,00;168,04;-0,03;0,00;0,00;
0,00;0,00;168,42;0,02;0,00;0,00;
0,00;0,00;168,43;-0,00;0,00;0,00;
0,00;0,00;168,55;0,02;0,00;0,00;
0,00;0,00;168,69;0,04;0,00;0,00;
0,00;0,00;168,85;0,09;0,00;0,00;
0,00;0,00;169,01;0,06;0,00;0,00;
0,00;0,00;169,17;0,09;0,00;0,00;
0,00;0,00;169,33;0,02;0,00;0,00;
0,00;0,00;169,49;0,06;0,00;0,00;
0,00;0,00;169,65;0,06;0,00;0,00;
0,00;0,00;169,81;0,06;0,00;0,00;
0,00;0,00;169,97;0,09;0,00;0,00;
0,00;0,00;170,13;0,06;0,00;0,00;
0,00;0,00;170,29;0,06;0,00;0,00;
0,00;0,00;170,45;0,09;0,00;0,00;
0,00;0,00;170,61;0,09;0,00;0,00;
0,00;0,00;170,77;0,09;0,00;0,00;
0,00;0,00;170,93;0,09;0,00;0,00;
0,00;0,00;171,09;0,09;0,00;0,00;
0,00;0,00;171,25;0,09;0,00;0,00;
0,00;0,00;171,41;0,09;0,00;0,00;
0,00;0,00;171,57;0,09;0,00;0,00;
0,00;0,00;171,73;0,09;0,00;0,00;
0,00;0,00;171,89;0,09;0,00;0,00;
0,00;0,00;172,05;0,18;0,00;0,00;
0,00;0,00;172,21;0,18;0,00;0,00;
0,00;0,00;172,37;0,18;0,00;0,00;
0,00;0,00;172,53;0,18;0,00;0,00;
0,00;0,00;172,69;0,18;0,00;0,00;
0,00;0,00;172,85;0,18;0,00;0,00;
0,00;0,00;173,01;0,16;0,00;0,00;
0,00;0,00;173,17;0,18;0,00;0,00;
0,00;0,00;173,33;0,18;0,00;0,00;
0,00;0,00;173,49;0,18;0,00;0,00;
0,00;0,00;173,65;0,20;0,00;0,00;
0,00;0,00;173,81;0,20;0,00;0,00;
0,00;0,00;173,97;0,24;0,00;0,00;
0,00;0,00;174,13;0,27;0,00;0,00;
0,00;0,00;174,29;0,20;0,00;0,00;
0,00;0,00;174,41;0,18;0,00;0,00;
0,00;0,00;174,42;0,22;0,00;0,00;
0,00;0,00;174,42;0,20;0,00;0,00;
0,00;0,00;174,42;0,22;0,00;0,00;
0,00;0,00;174,41;0,24;0,00;0,00;
0,00;0,00;174,41;0,22;0,00;0,00;
0,00;0,00;174,41;0,18;0,00;0,00;
0,00;0,00;174,41;0,22;0,00;0,00;
0,00;0,00;174,41;0,18;0,00;0,00;
0,00;0,00;174,41;0,18;0,00;0,00;
0,00;0,00;174,40;0,18;0,00;0,00;
0,00;0,00;174,40;0,20;0,00;0,00;
0,00;0,00;174,40;0,20;0,00;0,00;
0,00;0,00;174,40;0,18;0,00;0,00;
