23999;14.01.21 13:28:48;10;Repair_strategy;start interrupted (14);20210113093121P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,06;0,20;0,00;0,00;
0,00;0,00;0,62;0,16;0,00;0,00;
0,00;0,00;1,65;0,11;0,00;0,00;
0,00;0,00;3,17;0,11;0,00;0,00;
0,00;0,00;5,22;0,11;0,00;0,00;
0,00;0,00;7,78;0,13;0,00;0,00;
0,00;0,00;10,84;0,02;0,00;0,00;
0,00;0,00;13,95;0,09;0,00;0,00;
0,00;0,00;17,13;0,11;0,00;0,00;
0,00;0,00;20,34;0,07;0,00;0,00;
0,00;0,00;23,54;0,09;0,00;0,00;
0,00;0,00;26,74;0,06;0,00;0,00;
0,00;0,00;29,95;0,07;0,00;0,00;
0,00;0,00;33,15;0,09;0,00;0,00;
0,00;0,00;36,34;0,11;0,00;0,00;
0,00;0,00;39,54;0,09;0,00;0,00;
0,00;0,00;42,74;0,09;0,00;0,00;
0,00;0,00;45,94;0,05;0,00;0,00;
0,00;0,00;49,14;0,09;0,00;0,00;
0,00;0,00;52,34;0,05;0,00;0,00;
0,00;0,00;55,54;0,06;0,00;0,00;
0,00;0,00;58,74;0,09;0,00;0,00;
0,00;0,00;61,94;0,05;0,00;0,00;
0,00;0,00;65,15;0,11;0,00;0,00;
0,00;0,00;68,34;0,07;0,00;0,00;
0,00;0,00;71,54;0,09;0,00;0,00;
0,00;0,00;74,74;0,09;0,00;0,00;
0,00;0,00;77,95;0,07;0,00;0,00;
0,00;0,00;81,14;0,09;0,00;0,00;
0,00;0,00;84,34;0,09;0,00;0,00;
0,00;0,00;87,54;0,05;0,00;0,00;
0,00;0,00;90,74;0,07;0,00;0,00;
0,00;0,00;93,95;0,09;0,00;0,00;
0,00;0,00;97,15;0,09;0,00;0,00;
0,00;0,00;100,34;0,05;0,00;0,00;
0,00;0,00;103,54;0,09;0,00;0,00;
0,00;0,00;106,74;0,07;0,00;0,00;
0,00;0,00;109,95;0,07;0,00;0,00;
0,00;0,00;113,14;0,07;0,00;0,00;
0,00;0,00;116,34;0,07;0,00;0,00;
0,00;0,00;119,54;0,09;0,00;0,00;
0,00;0,00;122,74;0,09;0,00;0,00;
0,00;0,00;125,94;0,09;0,00;0,00;
0,00;0,00;129,14;0,07;0,00;0,00;
0,00;0,00;132,34;0,06;0,00;0,00;
0,00;0,00;135,54;0,06;0,00;0,00;
0,00;0,00;138,74;0,07;0,00;0,00;
0,00;0,00;141,94;0,05;0,00;0,00;
0,00;0,00;145,14;0,05;0,00;0,00;
0,00;0,00;148,34;0,09;0,00;0,00;
0,00;0,00;151,54;0,05;0,00;0,00;
0,00;0,00;154,74;0,11;0,00;0,00;
0,00;0,00;157,94;0,05;0,00;0,00;
0,00;0,00;161,14;0,07;0,00;0,00;
0,00;0,00;164,34;0,05;0,00;0,00;
0,00;0,00;167,54;0,02;0,00;0,00;
0,00;0,00;170,74;0,09;0,00;0,00;
0,00;0,00;176,16;-0,05;0,00;0,00;
0,00;0,00;178,16;-0,02;0,00;0,00;
0,00;0,00;179,65;-0,07;0,00;0,00;
0,00;0,00;180,63;-0,07;0,00;0,00;
0,00;0,00;181,09;-0,06;0,00;0,00;
0,00;0,00;181,24;0,05;0,00;0,00;
0,00;0,00;181,39;-0,02;0,00;0,00;
0,00;0,00;181,54;-0,05;0,00;0,00;
0,00;0,00;181,71;-0,02;0,00;0,00;
0,00;0,00;182,03;0,02;0,00;0,00;
0,00;0,00;182,19;0,02;0,00;0,00;
0,00;0,00;182,35;0,02;0,00;0,00;
0,00;0,00;182,51;0,02;0,00;0,00;
0,00;0,00;182,83;0,02;0,00;0,00;
0,00;0,00;182,99;0,02;0,00;0,00;
0,00;0,00;183,15;0,02;0,00;0,00;
0,00;0,00;183,31;0,02;0,00;0,00;
0,00;0,00;183,47;0,02;0,00;0,00;
0,00;0,00;183,63;0,02;0,00;0,00;
0,00;0,00;183,79;0,02;0,00;0,00;
0,00;0,00;184,11;0,02;0,00;0,00;
0,00;0,00;184,27;0,02;0,00;0,00;
0,00;0,00;184,43;0,02;0,00;0,00;
0,00;0,00;184,75;0,02;0,00;0,00;
0,00;0,00;184,91;0,02;0,00;0,00;
0,00;0,00;185,23;0,02;0,00;0,00;
0,00;0,00;185,39;0,02;0,00;0,00;
0,00;0,00;185,55;0,02;0,00;0,00;
0,00;0,00;185,71;0,02;0,00;0,00;
0,00;0,00;185,87;0,02;0,00;0,00;
0,00;0,00;186,03;0,02;0,00;0,00;
0,00;0,00;186,19;0,02;0,00;0,00;
0,00;0,00;186,35;0,02;0,00;0,00;
0,00;0,00;186,51;0,02;0,00;0,00;
0,00;0,00;186,67;0,02;0,00;0,00;
0,00;0,00;186,83;0,02;0,00;0,00;
0,00;0,00;186,99;0,13;0,00;0,00;
0,00;0,00;187,15;0,20;0,00;0,00;
0,00;0,00;187,31;0,20;0,00;0,00;
0,00;0,00;187,47;0,30;0,00;0,00;
0,00;0,00;187,63;0,32;0,00;0,00;
0,00;0,00;187,79;0,34;0,00;0,00;
0,00;0,00;187,95;0,39;0,00;0,00;
0,00;0,00;188,11;0,39;0,00;0,00;
0,00;0,00;188,27;0,54;0,00;0,00;
