8037;23.12.20 09:31:58;21;Avvicinamento Pressata Finale;force < min. force (9);20201222153507P0008;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;29,40;0,08;0,00;0,00;
0,00;0,00;30,22;0,08;0,00;0,00;
0,00;0,00;31,50;0,04;0,00;0,00;
0,00;0,00;33,30;0,04;0,00;0,00;
0,00;0,00;35,61;-0,01;0,00;0,00;
0,00;0,00;37,92;0,04;0,00;0,00;
0,00;0,00;40,31;0,04;0,00;0,00;
0,00;0,00;42,72;0,04;0,00;0,00;
0,00;0,00;47,52;0,04;0,00;0,00;
0,00;0,00;54,72;0,04;0,00;0,00;
0,00;0,00;57,12;0,04;0,00;0,00;
0,00;0,00;59,52;-0,01;0,00;0,00;
0,00;0,00;61,92;0,04;0,00;0,00;
0,00;0,00;64,32;0,04;0,00;0,00;
0,00;0,00;69,12;-0,01;0,00;0,00;
0,00;0,00;73,92;0,04;0,00;0,00;
0,00;0,00;76,32;0,04;0,00;0,00;
0,00;0,00;83,52;0,04;0,00;0,00;
0,00;0,00;88,32;0,04;0,00;0,00;
0,00;0,00;93,12;0,04;0,00;0,00;
0,00;0,00;95,52;0,08;0,00;0,00;
0,00;0,00;100,32;-0,04;0,00;0,00;
0,00;0,00;102,72;0,04;0,00;0,00;
0,00;0,00;105,12;0,08;0,00;0,00;
0,00;0,00;107,52;0,04;0,00;0,00;
0,00;0,00;112,32;0,04;0,00;0,00;
0,00;0,00;114,72;-0,04;0,00;0,00;
0,00;0,00;121,92;0,12;0,00;0,00;
0,00;0,00;129,12;0,04;0,00;0,00;
0,00;0,00;133,92;0,04;0,00;0,00;
0,00;0,00;136,32;0,04;0,00;0,00;
0,00;0,00;143,52;0,08;0,00;0,00;
0,00;0,00;148,32;0,04;0,00;0,00;
0,00;0,00;155,52;-0,01;0,00;0,00;
0,00;0,00;160,32;0,04;0,00;0,00;
0,00;0,00;162,72;0,04;0,00;0,00;
0,00;0,00;172,32;0,04;0,00;0,00;
0,00;0,00;181,92;0,04;0,00;0,00;
0,00;0,00;189,12;-0,01;0,00;0,00;
0,00;0,00;191,52;0,04;0,00;0,00;
0,00;0,00;201,12;0,04;0,00;0,00;
0,00;0,00;208,32;0,08;0,00;0,00;
0,00;0,00;215,52;0,04;0,00;0,00;
0,00;0,00;217,92;-0,04;0,00;0,00;
0,00;0,00;220,32;-0,04;0,00;0,00;
0,00;0,00;227,52;0,04;0,00;0,00;
0,00;0,00;229,92;-0,01;0,00;0,00;
0,00;0,00;232,32;-0,01;0,00;0,00;
0,00;0,00;239,52;0,04;0,00;0,00;
0,00;0,00;241,92;0,04;0,00;0,00;
0,00;0,00;246,72;0,04;0,00;0,00;
0,00;0,00;249,12;-0,04;0,00;0,00;
0,00;0,00;253,92;0,04;0,00;0,00;
0,00;0,00;261,12;0,04;0,00;0,00;
0,00;0,00;263,52;0,04;0,00;0,00;
0,00;0,00;268,32;0,04;0,00;0,00;
0,00;0,00;275,52;0,04;0,00;0,00;
0,00;0,00;280,32;0,08;0,00;0,00;
0,00;0,00;285,12;0,12;0,00;0,00;
0,00;0,00;289,81;0,04;0,00;0,00;
0,00;0,00;290,66;0,08;0,00;0,00;
0,00;0,00;290,97;0,04;0,00;0,00;
0,00;0,00;292,10;0,04;0,00;0,00;
0,00;0,00;292,74;0,08;0,00;0,00;
0,00;0,00;293,22;0,04;0,00;0,00;
0,00;0,00;295,46;0,08;0,00;0,00;
0,00;0,00;297,54;0,04;0,00;0,00;
0,00;0,00;298,02;0,04;0,00;0,00;
0,00;0,00;298,18;0,04;0,00;0,00;
0,00;0,00;298,34;0,04;0,00;0,00;
0,00;0,00;299,30;0,04;0,00;0,00;
0,00;0,00;299,46;0,04;0,00;0,00;
0,00;0,00;299,78;0,04;0,00;0,00;
0,00;0,00;300,90;0,08;0,00;0,00;
0,00;0,00;301,06;0,04;0,00;0,00;
0,00;0,00;301,38;0,04;0,00;0,00;
0,00;0,00;302,34;0,04;0,00;0,00;
0,00;0,00;302,98;0,04;0,00;0,00;
0,00;0,00;305,06;0,04;0,00;0,00;
0,00;0,00;305,38;0,04;0,00;0,00;
0,00;0,00;305,54;0,04;0,00;0,00;
0,00;0,00;306,02;0,04;0,00;0,00;
0,00;0,00;306,66;0,04;0,00;0,00;
0,00;0,00;306,82;0,04;0,00;0,00;
0,00;0,00;307,46;0,08;0,00;0,00;
0,00;0,00;308,10;0,04;0,00;0,00;
0,00;0,00;308,58;0,04;0,00;0,00;
0,00;0,00;309,06;0,04;0,00;0,00;
0,00;0,00;309,22;0,04;0,00;0,00;
0,00;0,00;310,34;0,04;0,00;0,00;
0,00;0,00;310,50;0,04;0,00;0,00;
0,00;0,00;311,30;0,04;0,00;0,00;
0,00;0,00;311,46;0,04;0,00;0,00;
0,00;0,00;312,26;0,04;0,00;0,00;
0,00;0,00;312,74;0,04;0,00;0,00;
0,00;0,00;312,90;0,04;0,00;0,00;
0,00;0,00;313,06;0,04;0,00;0,00;
0,00;0,00;313,54;0,04;0,00;0,00;
0,00;0,00;313,86;0,04;0,00;0,00;
0,00;0,00;313,94;0,04;0,00;0,00;
