24000;14.01.21 13:29:12;10;Repair_strategy;start interrupted (14);20210113093121P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;32,62;0,04;0,00;0,00;
0,00;0,00;32,68;0,24;0,00;0,00;
0,00;0,00;33,23;0,18;0,00;0,00;
0,00;0,00;34,26;0,15;0,00;0,00;
0,00;0,00;35,79;0,15;0,00;0,00;
0,00;0,00;37,83;0,22;0,00;0,00;
0,00;0,00;40,39;0,20;0,00;0,00;
0,00;0,00;43,45;0,16;0,00;0,00;
0,00;0,00;46,57;0,16;0,00;0,00;
0,00;0,00;49,74;0,18;0,00;0,00;
0,00;0,00;52,96;0,06;0,00;0,00;
0,00;0,00;56,16;0,11;0,00;0,00;
0,00;0,00;59,36;0,11;0,00;0,00;
0,00;0,00;62,56;0,13;0,00;0,00;
0,00;0,00;65,76;0,13;0,00;0,00;
0,00;0,00;68,96;0,13;0,00;0,00;
0,00;0,00;72,16;0,13;0,00;0,00;
0,00;0,00;75,36;0,11;0,00;0,00;
0,00;0,00;78,56;0,13;0,00;0,00;
0,00;0,00;81,76;0,15;0,00;0,00;
0,00;0,00;84,96;0,09;0,00;0,00;
0,00;0,00;88,16;0,13;0,00;0,00;
0,00;0,00;91,36;0,15;0,00;0,00;
0,00;0,00;94,56;0,11;0,00;0,00;
0,00;0,00;97,76;0,16;0,00;0,00;
0,00;0,00;100,96;0,13;0,00;0,00;
0,00;0,00;104,16;0,13;0,00;0,00;
0,00;0,00;107,36;0,13;0,00;0,00;
0,00;0,00;110,56;0,13;0,00;0,00;
0,00;0,00;113,76;0,13;0,00;0,00;
0,00;0,00;116,96;0,13;0,00;0,00;
0,00;0,00;120,16;0,13;0,00;0,00;
0,00;0,00;123,36;0,11;0,00;0,00;
0,00;0,00;126,56;0,15;0,00;0,00;
0,00;0,00;129,76;0,13;0,00;0,00;
0,00;0,00;132,96;0,09;0,00;0,00;
0,00;0,00;136,16;0,11;0,00;0,00;
0,00;0,00;139,36;0,09;0,00;0,00;
