39909;13.05.21 11:00:18;22;Avvicinamento pre-pressata pressata Fuori Ingombro;position > max position (10);20210513093304P0009;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,05;0,14;0,00;0,00;
0,00;0,00;0,51;0,30;0,00;0,00;
0,00;0,00;1,28;0,37;0,00;0,00;
0,00;0,00;2,43;0,37;0,00;0,00;
0,00;0,00;3,98;0,37;0,00;0,00;
0,00;0,00;5,90;0,37;0,00;0,00;
0,00;0,00;8,20;0,30;0,00;0,00;
0,00;0,00;10,54;0,30;0,00;0,00;
0,00;0,00;12,93;0,30;0,00;0,00;
0,00;0,00;15,34;0,30;0,00;0,00;
0,00;0,00;17,74;0,30;0,00;0,00;
0,00;0,00;20,15;0,30;0,00;0,00;
0,00;0,00;22,54;0,30;0,00;0,00;
0,00;0,00;24,95;0,30;0,00;0,00;
0,00;0,00;27,35;0,30;0,00;0,00;
0,00;0,00;29,74;0,30;0,00;0,00;
0,00;0,00;32,15;0,30;0,00;0,00;
0,00;0,00;34,54;0,22;0,00;0,00;
0,00;0,00;36,95;0,30;0,00;0,00;
0,00;0,00;39,35;0,30;0,00;0,00;
0,00;0,00;41,75;0,30;0,00;0,00;
0,00;0,00;44,15;0,30;0,00;0,00;
0,00;0,00;46,54;0,30;0,00;0,00;
0,00;0,00;48,95;0,30;0,00;0,00;
0,00;0,00;51,35;0,30;0,00;0,00;
0,00;0,00;53,75;0,22;0,00;0,00;
0,00;0,00;56,15;0,30;0,00;0,00;
0,00;0,00;58,54;0,30;0,00;0,00;
0,00;0,00;60,95;0,30;0,00;0,00;
0,00;0,00;63,35;0,30;0,00;0,00;
0,00;0,00;65,75;0,22;0,00;0,00;
0,00;0,00;68,15;0,30;0,00;0,00;
0,00;0,00;70,54;0,30;0,00;0,00;
0,00;0,00;72,95;0,37;0,00;0,00;
0,00;0,00;75,35;0,30;0,00;0,00;
0,00;0,00;77,75;0,30;0,00;0,00;
0,00;0,00;80,15;0,30;0,00;0,00;
0,00;0,00;82,54;0,30;0,00;0,00;
0,00;0,00;84,95;0,30;0,00;0,00;
0,00;0,00;87,35;0,30;0,00;0,00;
0,00;0,00;89,75;0,30;0,00;0,00;
0,00;0,00;92,15;0,30;0,00;0,00;
0,00;0,00;94,54;0,30;0,00;0,00;
0,00;0,00;96,95;0,30;0,00;0,00;
0,00;0,00;99,35;0,22;0,00;0,00;
0,00;0,00;101,75;0,30;0,00;0,00;
0,00;0,00;104,15;0,30;0,00;0,00;
0,00;0,00;106,54;0,22;0,00;0,00;
0,00;0,00;108,95;0,30;0,00;0,00;
0,00;0,00;111,35;0,22;0,00;0,00;
0,00;0,00;113,75;0,30;0,00;0,00;
0,00;0,00;116,15;0,30;0,00;0,00;
0,00;0,00;118,54;0,30;0,00;0,00;
0,00;0,00;120,95;0,30;0,00;0,00;
0,00;0,00;123,35;0,30;0,00;0,00;
0,00;0,00;125,75;0,30;0,00;0,00;
0,00;0,00;128,15;0,30;0,00;0,00;
0,00;0,00;130,54;0,22;0,00;0,00;
0,00;0,00;132,95;0,22;0,00;0,00;
0,00;0,00;135,35;0,30;0,00;0,00;
0,00;0,00;137,74;0,30;0,00;0,00;
0,00;0,00;140,15;0,30;0,00;0,00;
0,00;0,00;142,54;0,30;0,00;0,00;
0,00;0,00;144,95;0,22;0,00;0,00;
0,00;0,00;147,35;0,30;0,00;0,00;
0,00;0,00;149,75;0,30;0,00;0,00;
0,00;0,00;152,00;0,14;0,00;0,00;
0,00;0,00;153,86;0,30;0,00;0,00;
0,00;0,00;155,41;0,22;0,00;0,00;
0,00;0,00;156,56;0,06;0,00;0,00;
0,00;0,00;157,32;0,14;0,00;0,00;
0,00;0,00;157,70;0,06;0,00;0,00;
0,00;0,00;157,79;0,30;0,00;0,00;
0,00;0,00;157,82;0,14;0,00;0,00;
0,00;0,00;157,90;0,22;0,00;0,00;
0,00;0,00;158,04;0,30;0,00;0,00;
0,00;0,00;158,18;0,22;0,00;0,00;
0,00;0,00;158,35;0,30;0,00;0,00;
0,00;0,00;158,51;0,30;0,00;0,00;
0,00;0,00;158,67;0,22;0,00;0,00;
0,00;0,00;158,83;0,22;0,00;0,00;
0,00;0,00;158,99;0,22;0,00;0,00;
0,00;0,00;159,15;0,30;0,00;0,00;
0,00;0,00;159,31;0,30;0,00;0,00;
0,00;0,00;159,47;0,30;0,00;0,00;
0,00;0,00;159,63;0,30;0,00;0,00;
0,00;0,00;159,79;0,22;0,00;0,00;
0,00;0,00;159,95;0,30;0,00;0,00;
0,00;0,00;160,11;0,30;0,00;0,00;
0,00;0,00;160,27;0,22;0,00;0,00;
0,00;0,00;160,43;0,30;0,00;0,00;
0,00;0,00;160,59;0,30;0,00;0,00;
0,00;0,00;160,75;0,30;0,00;0,00;
0,00;0,00;160,91;0,30;0,00;0,00;
0,00;0,00;161,07;0,30;0,00;0,00;
0,00;0,00;161,23;0,30;0,00;0,00;
0,00;0,00;161,39;0,30;0,00;0,00;
0,00;0,00;161,55;0,30;0,00;0,00;
0,00;0,00;161,71;0,30;0,00;0,00;
0,00;0,00;161,87;0,30;0,00;0,00;
0,00;0,00;162,03;0,30;0,00;0,00;
0,00;0,00;162,19;0,30;0,00;0,00;
0,00;0,00;162,35;0,30;0,00;0,00;
0,00;0,00;162,51;0,30;0,00;0,00;
0,00;0,00;162,67;0,30;0,00;0,00;
0,00;0,00;162,83;0,30;0,00;0,00;
0,00;0,00;162,99;0,30;0,00;0,00;
0,00;0,00;163,15;0,30;0,00;0,00;
0,00;0,00;163,31;0,30;0,00;0,00;
0,00;0,00;163,47;0,30;0,00;0,00;
0,00;0,00;163,63;0,30;0,00;0,00;
0,00;0,00;163,79;0,30;0,00;0,00;
0,00;0,00;163,95;0,30;0,00;0,00;
0,00;0,00;164,11;0,30;0,00;0,00;
0,00;0,00;164,27;0,30;0,00;0,00;
0,00;0,00;164,43;0,30;0,00;0,00;
0,00;0,00;164,59;0,30;0,00;0,00;
0,00;0,00;164,75;0,30;0,00;0,00;
0,00;0,00;164,91;0,30;0,00;0,00;
0,00;0,00;165,07;0,30;0,00;0,00;
0,00;0,00;165,23;0,30;0,00;0,00;
0,00;0,00;165,39;0,30;0,00;0,00;
0,00;0,00;165,55;0,30;0,00;0,00;
0,00;0,00;165,71;0,30;0,00;0,00;
0,00;0,00;165,87;0,30;0,00;0,00;
0,00;0,00;166,03;0,30;0,00;0,00;
0,00;0,00;166,19;0,30;0,00;0,00;
0,00;0,00;166,35;0,30;0,00;0,00;
0,00;0,00;166,51;0,30;0,00;0,00;
0,00;0,00;166,67;0,30;0,00;0,00;
0,00;0,00;166,83;0,30;0,00;0,00;
0,00;0,00;166,99;0,30;0,00;0,00;
0,00;0,00;167,15;0,30;0,00;0,00;
0,00;0,00;167,31;0,30;0,00;0,00;
0,00;0,00;167,47;0,30;0,00;0,00;
0,00;0,00;167,63;0,30;0,00;0,00;
0,00;0,00;167,79;0,30;0,00;0,00;
0,00;0,00;167,95;0,30;0,00;0,00;
0,00;0,00;168,11;0,30;0,00;0,00;
0,00;0,00;168,27;0,30;0,00;0,00;
0,00;0,00;168,43;0,30;0,00;0,00;
0,00;0,00;168,59;0,30;0,00;0,00;
0,00;0,00;168,75;0,30;0,00;0,00;
0,00;0,00;168,91;0,30;0,00;0,00;
0,00;0,00;169,07;0,30;0,00;0,00;
0,00;0,00;169,23;0,30;0,00;0,00;
0,00;0,00;169,39;0,30;0,00;0,00;
0,00;0,00;169,55;0,30;0,00;0,00;
0,00;0,00;169,71;0,30;0,00;0,00;
0,00;0,00;169,87;0,30;0,00;0,00;
0,00;0,00;170,03;0,30;0,00;0,00;
0,00;0,00;170,19;0,30;0,00;0,00;
0,00;0,00;170,35;0,30;0,00;0,00;
0,00;0,00;170,51;0,30;0,00;0,00;
0,00;0,00;170,67;0,30;0,00;0,00;
0,00;0,00;170,83;0,30;0,00;0,00;
0,00;0,00;170,99;0,30;0,00;0,00;
0,00;0,00;171,15;0,30;0,00;0,00;
0,00;0,00;171,31;0,30;0,00;0,00;
0,00;0,00;171,47;0,30;0,00;0,00;
0,00;0,00;171,63;0,30;0,00;0,00;
0,00;0,00;171,79;0,30;0,00;0,00;
0,00;0,00;171,95;0,30;0,00;0,00;
0,00;0,00;172,11;0,30;0,00;0,00;
0,00;0,00;172,27;0,30;0,00;0,00;
0,00;0,00;172,43;0,30;0,00;0,00;
0,00;0,00;172,59;0,30;0,00;0,00;
0,00;0,00;172,75;0,30;0,00;0,00;
0,00;0,00;172,91;0,30;0,00;0,00;
0,00;0,00;173,07;0,30;0,00;0,00;
0,00;0,00;173,23;0,30;0,00;0,00;
0,00;0,00;173,39;0,30;0,00;0,00;
0,00;0,00;173,55;0,30;0,00;0,00;
0,00;0,00;173,71;0,30;0,00;0,00;
0,00;0,00;173,87;0,30;0,00;0,00;
0,00;0,00;174,03;0,30;0,00;0,00;
0,00;0,00;174,19;0,30;0,00;0,00;
0,00;0,00;174,35;0,30;0,00;0,00;
0,00;0,00;174,51;0,30;0,00;0,00;
0,00;0,00;174,67;0,30;0,00;0,00;
0,00;0,00;174,83;0,30;0,00;0,00;
0,00;0,00;174,99;0,30;0,00;0,00;
0,00;0,00;175,15;0,30;0,00;0,00;
0,00;0,00;175,31;0,30;0,00;0,00;
0,00;0,00;175,47;0,30;0,00;0,00;
0,00;0,00;175,63;0,30;0,00;0,00;
0,00;0,00;175,79;0,30;0,00;0,00;
0,00;0,00;175,95;0,30;0,00;0,00;
0,00;0,00;176,11;0,30;0,00;0,00;
0,00;0,00;176,27;0,30;0,00;0,00;
0,00;0,00;176,43;0,30;0,00;0,00;
0,00;0,00;176,59;0,30;0,00;0,00;
0,00;0,00;176,75;0,30;0,00;0,00;
0,00;0,00;176,90;0,30;0,00;0,00;
0,00;0,00;176,88;0,30;0,00;0,00;
0,00;0,00;176,90;0,30;0,00;0,00;
0,00;0,00;176,90;0,30;0,00;0,00;
0,00;0,00;176,90;0,30;0,00;0,00;
0,00;0,00;176,90;0,30;0,00;0,00;
0,00;0,00;176,90;0,30;0,00;0,00;
0,00;0,00;176,90;0,30;0,00;0,00;
0,00;0,00;176,90;0,30;0,00;0,00;
0,00;0,00;176,90;0,30;0,00;0,00;
0,00;0,00;176,90;0,30;0,00;0,00;
0,00;0,00;176,90;0,30;0,00;0,00;
0,00;0,00;176,90;0,30;0,00;0,00;
0,00;0,00;176,90;0,30;0,00;0,00;
0,00;0,00;176,90;0,30;0,00;0,00;
