13741;23.11.20 10:07:09;21;Avvicinamento Pressata Fuori Ingombro;force > max. force (8);20201120155706P0038;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;20,59;0,30;0,00;0,00;
0,00;0,00;21,20;0,22;0,00;0,00;
0,00;0,00;22,15;0,22;0,00;0,00;
0,00;0,00;23,50;0,22;0,00;0,00;
0,00;0,00;25,24;0,22;0,00;0,00;
0,00;0,00;27,35;0,45;0,00;0,00;
0,00;0,00;29,72;0,22;0,00;0,00;
0,00;0,00;32,08;0,22;0,00;0,00;
0,00;0,00;34,49;0,22;0,00;0,00;
0,00;0,00;36,89;0,22;0,00;0,00;
0,00;0,00;39,29;0,22;0,00;0,00;
0,00;0,00;41,69;0,22;0,00;0,00;
0,00;0,00;44,10;0,14;0,00;0,00;
0,00;0,00;46,49;0,14;0,00;0,00;
0,00;0,00;48,90;0,14;0,00;0,00;
0,00;0,00;51,30;0,14;0,00;0,00;
0,00;0,00;53,70;0,14;0,00;0,00;
0,00;0,00;56,10;0,08;0,00;0,00;
0,00;0,00;58,50;0,14;0,00;0,00;
0,00;0,00;60,90;0,14;0,00;0,00;
0,00;0,00;63,30;0,14;0,00;0,00;
0,00;0,00;65,69;0,14;0,00;0,00;
0,00;0,00;68,10;0,08;0,00;0,00;
0,00;0,00;70,50;0,22;0,00;0,00;
0,00;0,00;72,90;0,22;0,00;0,00;
0,00;0,00;75,30;0,22;0,00;0,00;
0,00;0,00;77,69;0,14;0,00;0,00;
0,00;0,00;80,10;0,14;0,00;0,00;
0,00;0,00;82,50;0,14;0,00;0,00;
0,00;0,00;84,90;0,14;0,00;0,00;
0,00;0,00;87,30;0,14;0,00;0,00;
0,00;0,00;89,69;0,22;0,00;0,00;
0,00;0,00;92,10;0,08;0,00;0,00;
0,00;0,00;94,50;0,08;0,00;0,00;
0,00;0,00;96,90;0,22;0,00;0,00;
0,00;0,00;99,30;0,22;0,00;0,00;
0,00;0,00;101,69;0,14;0,00;0,00;
0,00;0,00;104,10;0,08;0,00;0,00;
0,00;0,00;106,50;0,22;0,00;0,00;
0,00;0,00;108,90;0,14;0,00;0,00;
0,00;0,00;111,30;0,22;0,00;0,00;
0,00;0,00;113,69;0,06;0,00;0,00;
0,00;0,00;116,10;0,14;0,00;0,00;
0,00;0,00;118,49;0,14;0,00;0,00;
0,00;0,00;120,90;0,08;0,00;0,00;
0,00;0,00;123,30;0,14;0,00;0,00;
0,00;0,00;125,69;0,14;0,00;0,00;
0,00;0,00;128,10;0,08;0,00;0,00;
0,00;0,00;130,50;0,08;0,00;0,00;
0,00;0,00;132,90;0,14;0,00;0,00;
0,00;0,00;135,30;0,14;0,00;0,00;
0,00;0,00;137,69;0,08;0,00;0,00;
0,00;0,00;140,10;0,14;0,00;0,00;
0,00;0,00;142,49;0,06;0,00;0,00;
0,00;0,00;144,90;0,14;0,00;0,00;
0,00;0,00;147,30;0,14;0,00;0,00;
0,00;0,00;149,69;0,14;0,00;0,00;
0,00;0,00;152,10;0,08;0,00;0,00;
0,00;0,00;154,50;0,08;0,00;0,00;
0,00;0,00;156,90;0,14;0,00;0,00;
0,00;0,00;159,30;0,22;0,00;0,00;
0,00;0,00;161,69;0,14;0,00;0,00;
0,00;0,00;164,10;0,14;0,00;0,00;
0,00;0,00;166,50;0,22;0,00;0,00;
0,00;0,00;168,90;0,14;0,00;0,00;
0,00;0,00;171,30;0,30;0,00;0,00;
0,00;0,00;173,69;0,22;0,00;0,00;
0,00;0,00;176,10;0,14;0,00;0,00;
0,00;0,00;178,49;0,14;0,00;0,00;
0,00;0,00;180,90;0,22;0,00;0,00;
0,00;0,00;183,30;0,14;0,00;0,00;
0,00;0,00;185,70;0,14;0,00;0,00;
0,00;0,00;188,10;0,14;0,00;0,00;
0,00;0,00;190,49;0,37;0,00;0,00;
0,00;0,00;192,83;0,53;0,00;0,00;
0,00;0,00;194,78;0,61;0,00;0,00;
0,00;0,00;196,44;0,83;0,00;0,00;
0,00;0,00;197,72;9,66;0,00;0,00;
0,00;0,00;198,61;1,14;0,00;0,00;
0,00;0,00;199,15;1,14;0,00;0,00;
0,00;0,00;199,31;1,21;0,00;0,00;
0,00;0,00;199,37;1,21;0,00;0,00;
0,00;0,00;199,37;0,98;0,00;0,00;
0,00;0,00;199,47;1,43;0,00;0,00;
0,00;0,00;199,60;1,36;0,00;0,00;
0,00;0,00;199,75;1,36;0,00;0,00;
0,00;0,00;199,92;1,43;0,00;0,00;
0,00;0,00;200,08;2,27;0,00;0,00;
0,00;0,00;200,23;4,49;0,00;0,00;
0,00;0,00;200,38;11,26;0,00;0,00;
0,00;0,00;200,42;14,83;0,00;0,00;
0,00;0,00;200,45;16,73;0,00;0,00;
0,00;0,00;200,46;17,58;0,00;0,00;
0,00;0,00;200,46;17,74;0,00;0,00;
0,00;0,00;200,46;17,96;0,00;0,00;
0,00;0,00;200,46;18,11;0,00;0,00;
0,00;0,00;200,47;18,35;0,00;0,00;
0,00;0,00;200,47;18,35;0,00;0,00;
0,00;0,00;200,47;18,41;0,00;0,00;
0,00;0,00;200,47;18,49;0,00;0,00;
0,00;0,00;200,47;18,57;0,00;0,00;
0,00;0,00;200,47;18,49;0,00;0,00;
0,00;0,00;200,47;18,64;0,00;0,00;
0,00;0,00;200,47;18,64;0,00;0,00;
