26422;25.01.21 12:21:54;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20210125092108P0004;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;0,06;0,18;0,00;0,00;
0,00;0,00;0,62;0,11;0,00;0,00;
0,00;0,00;1,65;0,13;0,00;0,00;
0,00;0,00;3,17;0,13;0,00;0,00;
0,00;0,00;5,22;0,16;0,00;0,00;
0,00;0,00;7,78;0,18;0,00;0,00;
0,00;0,00;10,84;0,07;0,00;0,00;
0,00;0,00;13,95;0,09;0,00;0,00;
0,00;0,00;17,13;0,16;0,00;0,00;
0,00;0,00;20,35;0,06;0,00;0,00;
0,00;0,00;23,55;0,09;0,00;0,00;
0,00;0,00;26,75;0,11;0,00;0,00;
0,00;0,00;29,95;0,09;0,00;0,00;
0,00;0,00;33,15;0,11;0,00;0,00;
0,00;0,00;36,35;0,11;0,00;0,00;
0,00;0,00;39,54;0,11;0,00;0,00;
0,00;0,00;42,75;0,11;0,00;0,00;
0,00;0,00;45,95;0,07;0,00;0,00;
0,00;0,00;49,15;0,09;0,00;0,00;
0,00;0,00;52,35;0,09;0,00;0,00;
0,00;0,00;55,55;0,09;0,00;0,00;
0,00;0,00;58,74;0,11;0,00;0,00;
0,00;0,00;61,95;0,05;0,00;0,00;
0,00;0,00;65,15;0,09;0,00;0,00;
0,00;0,00;68,35;0,04;0,00;0,00;
0,00;0,00;71,54;0,09;0,00;0,00;
0,00;0,00;74,75;0,09;0,00;0,00;
0,00;0,00;77,95;0,05;0,00;0,00;
0,00;0,00;81,15;0,09;0,00;0,00;
0,00;0,00;84,35;0,09;0,00;0,00;
0,00;0,00;87,55;0,09;0,00;0,00;
0,00;0,00;90,75;0,11;0,00;0,00;
0,00;0,00;93,95;0,06;0,00;0,00;
0,00;0,00;97,15;0,11;0,00;0,00;
0,00;0,00;100,35;0,09;0,00;0,00;
0,00;0,00;103,54;0,09;0,00;0,00;
0,00;0,00;106,75;0,09;0,00;0,00;
0,00;0,00;109,95;0,11;0,00;0,00;
0,00;0,00;113,15;0,09;0,00;0,00;
0,00;0,00;116,35;0,09;0,00;0,00;
0,00;0,00;119,54;0,09;0,00;0,00;
0,00;0,00;122,74;0,13;0,00;0,00;
0,00;0,00;125,95;0,07;0,00;0,00;
0,00;0,00;129,15;0,09;0,00;0,00;
0,00;0,00;132,35;0,06;0,00;0,00;
0,00;0,00;135,54;0,06;0,00;0,00;
0,00;0,00;138,75;0,09;0,00;0,00;
0,00;0,00;141,95;0,06;0,00;0,00;
0,00;0,00;145,15;0,06;0,00;0,00;
0,00;0,00;148,35;0,06;0,00;0,00;
0,00;0,00;151,54;0,06;0,00;0,00;
0,00;0,00;154,75;0,09;0,00;0,00;
0,00;0,00;157,95;0,06;0,00;0,00;
0,00;0,00;161,03;-0,05;0,00;0,00;
0,00;0,00;163,59;0,02;0,00;0,00;
0,00;0,00;165,71;-0,02;0,00;0,00;
0,00;0,00;168,43;-0,02;0,00;0,00;
0,00;0,00;169,02;-0,05;0,00;0,00;
0,00;0,00;169,21;-0,02;0,00;0,00;
0,00;0,00;169,21;0,02;0,00;0,00;
0,00;0,00;169,36;-0,02;0,00;0,00;
0,00;0,00;169,83;0,02;0,00;0,00;
0,00;0,00;169,99;0,02;0,00;0,00;
0,00;0,00;170,31;-0,02;0,00;0,00;
0,00;0,00;170,79;0,02;0,00;0,00;
0,00;0,00;170,95;0,02;0,00;0,00;
0,00;0,00;171,43;-0,02;0,00;0,00;
0,00;0,00;171,59;0,02;0,00;0,00;
0,00;0,00;171,75;0,02;0,00;0,00;
0,00;0,00;172,07;0,05;0,00;0,00;
0,00;0,00;172,23;0,02;0,00;0,00;
0,00;0,00;172,39;0,02;0,00;0,00;
0,00;0,00;172,55;0,05;0,00;0,00;
0,00;0,00;172,71;-0,02;0,00;0,00;
0,00;0,00;173,19;-0,02;0,00;0,00;
0,00;0,00;173,35;-0,02;0,00;0,00;
0,00;0,00;173,83;0,05;0,00;0,00;
0,00;0,00;173,99;0,02;0,00;0,00;
0,00;0,00;174,15;0,02;0,00;0,00;
0,00;0,00;174,31;-0,02;0,00;0,00;
0,00;0,00;174,63;0,02;0,00;0,00;
0,00;0,00;174,79;-0,02;0,00;0,00;
0,00;0,00;175,11;-0,02;0,00;0,00;
0,00;0,00;175,59;0,02;0,00;0,00;
0,00;0,00;175,75;-0,02;0,00;0,00;
0,00;0,00;175,91;-0,02;0,00;0,00;
0,00;0,00;176,07;0,02;0,00;0,00;
0,00;0,00;176,23;0,02;0,00;0,00;
0,00;0,00;177,35;0,02;0,00;0,00;
0,00;0,00;177,51;0,02;0,00;0,00;
0,00;0,00;177,67;0,05;0,00;0,00;
0,00;0,00;177,83;-0,02;0,00;0,00;
0,00;0,00;177,99;-0,02;0,00;0,00;
0,00;0,00;178,15;0,02;0,00;0,00;
0,00;0,00;178,79;0,02;0,00;0,00;
0,00;0,00;178,95;0,02;0,00;0,00;
0,00;0,00;179,11;0,20;0,00;0,00;
0,00;0,00;179,27;0,18;0,00;0,00;
0,00;0,00;179,42;3,21;0,00;0,00;
0,00;0,00;179,54;7,89;0,00;0,00;
0,00;0,00;179,59;10,63;0,00;0,00;
0,00;0,00;179,61;11,22;0,00;0,00;
0,00;0,00;179,62;11,67;0,00;0,00;
0,00;0,00;179,63;11,98;0,00;0,00;
0,00;0,00;179,64;12,10;0,00;0,00;
0,00;0,00;179,65;12,10;0,00;0,00;
0,00;0,00;179,65;12,01;0,00;0,00;
0,00;0,00;179,66;11,92;0,00;0,00;
0,00;0,00;179,67;11,83;0,00;0,00;
0,00;0,00;179,67;11,74;0,00;0,00;
0,00;0,00;179,67;11,65;0,00;0,00;
0,00;0,00;179,68;11,62;0,00;0,00;
0,00;0,00;179,68;11,55;0,00;0,00;
0,00;0,00;179,68;11,47;0,00;0,00;
