3473;24.01.20 14:59:02;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200124135925;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;24,80;0,16;0,00;0,00;
0,00;0,00;24,86;0,37;0,00;0,00;
0,00;0,00;25,30;0,31;0,00;0,00;
0,00;0,00;26,08;0,45;0,00;0,00;
0,00;0,00;27,23;0,30;0,00;0,00;
0,00;0,00;28,77;0,30;0,00;0,00;
0,00;0,00;30,70;0,37;0,00;0,00;
0,00;0,00;33,00;0,45;0,00;0,00;
0,00;0,00;35,34;0,61;0,00;0,00;
0,00;0,00;37,73;0,45;0,00;0,00;
0,00;0,00;40,14;0,45;0,00;0,00;
0,00;0,00;42,54;0,45;0,00;0,00;
0,00;0,00;44,95;0,37;0,00;0,00;
0,00;0,00;47,34;0,45;0,00;0,00;
0,00;0,00;49,74;0,45;0,00;0,00;
0,00;0,00;52,15;0,37;0,00;0,00;
0,00;0,00;54,54;0,31;0,00;0,00;
0,00;0,00;56,95;0,37;0,00;0,00;
0,00;0,00;59,35;0,45;0,00;0,00;
0,00;0,00;61,75;0,45;0,00;0,00;
0,00;0,00;64,15;0,31;0,00;0,00;
0,00;0,00;66,54;0,31;0,00;0,00;
0,00;0,00;68,95;0,31;0,00;0,00;
0,00;0,00;71,35;0,53;0,00;0,00;
0,00;0,00;73,74;0,45;0,00;0,00;
0,00;0,00;76,15;0,37;0,00;0,00;
0,00;0,00;78,55;0,37;0,00;0,00;
0,00;0,00;80,95;0,37;0,00;0,00;
0,00;0,00;83,35;0,45;0,00;0,00;
0,00;0,00;85,74;0,45;0,00;0,00;
0,00;0,00;88,15;0,30;0,00;0,00;
0,00;0,00;90,54;0,37;0,00;0,00;
0,00;0,00;92,95;0,31;0,00;0,00;
0,00;0,00;95,35;0,37;0,00;0,00;
0,00;0,00;97,75;0,37;0,00;0,00;
0,00;0,00;100,15;0,31;0,00;0,00;
0,00;0,00;102,55;0,31;0,00;0,00;
0,00;0,00;104,95;0,37;0,00;0,00;
