3468;24.01.20 14:38:28;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force > max. force (8);20200124135925;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;73,70;0,08;0,00;0,00;
0,00;0,00;73,76;0,22;0,00;0,00;
0,00;0,00;74,21;0,22;0,00;0,00;
0,00;0,00;74,98;0,22;0,00;0,00;
0,00;0,00;76,13;0,30;0,00;0,00;
0,00;0,00;77,67;0,22;0,00;0,00;
0,00;0,00;79,60;0,22;0,00;0,00;
0,00;0,00;81,90;0,30;0,00;0,00;
0,00;0,00;84,24;0,30;0,00;0,00;
0,00;0,00;86,63;0,08;0,00;0,00;
0,00;0,00;89,04;0,22;0,00;0,00;
0,00;0,00;91,44;0,22;0,00;0,00;
0,00;0,00;93,84;0,22;0,00;0,00;
0,00;0,00;96,25;0,22;0,00;0,00;
0,00;0,00;98,64;0,22;0,00;0,00;
0,00;0,00;101,05;0,30;0,00;0,00;
0,00;0,00;103,45;0,22;0,00;0,00;
0,00;0,00;105,85;0,08;0,00;0,00;
0,00;0,00;108,25;0,06;0,00;0,00;
0,00;0,00;110,64;0,14;0,00;0,00;
0,00;0,00;113,05;0,14;0,00;0,00;
0,00;0,00;115,45;0,30;0,00;0,00;
0,00;0,00;117,85;0,22;0,00;0,00;
0,00;0,00;120,25;0,22;0,00;0,00;
0,00;0,00;122,64;0,14;0,00;0,00;
0,00;0,00;125,05;0,22;0,00;0,00;
0,00;0,00;127,45;0,14;0,00;0,00;
0,00;0,00;129,85;0,22;0,00;0,00;
0,00;0,00;132,25;0,08;0,00;0,00;
0,00;0,00;134,64;0,14;0,00;0,00;
0,00;0,00;137,05;0,08;0,00;0,00;
0,00;0,00;139,45;0,14;0,00;0,00;
0,00;0,00;141,85;0,08;0,00;0,00;
0,00;0,00;144,25;0,14;0,00;0,00;
0,00;0,00;146,65;0,08;0,00;0,00;
0,00;0,00;149,05;0,14;0,00;0,00;
0,00;0,00;151,45;0,22;0,00;0,00;
0,00;0,00;153,85;0,08;0,00;0,00;
0,00;0,00;156,25;0,08;0,00;0,00;
0,00;0,00;158,64;0,22;0,00;0,00;
0,00;0,00;161,05;0,14;0,00;0,00;
0,00;0,00;163,45;0,75;0,00;0,00;
0,00;0,00;165,78;6,31;0,00;0,00;
0,00;0,00;167,71;6,76;0,00;0,00;
0,00;0,00;169,35;8,05;0,00;0,00;
0,00;0,00;170,60;9,05;0,00;0,00;
0,00;0,00;171,46;9,97;0,00;0,00;
0,00;0,00;171,94;10,42;0,00;0,00;
0,00;0,00;172,04;9,50;0,00;0,00;
0,00;0,00;172,12;10,50;0,00;0,00;
0,00;0,00;172,13;9,52;0,00;0,00;
0,00;0,00;172,12;8,91;0,00;0,00;
0,00;0,00;172,11;8,44;0,00;0,00;
0,00;0,00;172,11;8,07;0,00;0,00;
0,00;0,00;172,11;7,76;0,00;0,00;
0,00;0,00;172,10;7,68;0,00;0,00;
0,00;0,00;172,10;7,52;0,00;0,00;
