2624;31.01.20 16:44:40;21;Avvicinamento Pressata Finale;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;259,10;-0,09;0,00;0,00;
0,00;0,00;256,70;-0,09;0,00;0,00;
0,00;0,00;254,30;-0,09;0,00;0,00;
0,00;0,00;251,90;-0,09;0,00;0,00;
0,00;0,00;249,50;-0,09;0,00;0,00;
0,00;0,00;247,10;-0,09;0,00;0,00;
0,00;0,00;244,70;-0,09;0,00;0,00;
0,00;0,00;242,30;-0,09;0,00;0,00;
0,00;0,00;239,90;-0,09;0,00;0,00;
0,00;0,00;237,50;-0,09;0,00;0,00;
0,00;0,00;235,10;-0,09;0,00;0,00;
0,00;0,00;232,70;-0,09;0,00;0,00;
0,00;0,00;230,30;-0,09;0,00;0,00;
0,00;0,00;227,90;-0,04;0,00;0,00;
0,00;0,00;225,50;-0,09;0,00;0,00;
0,00;0,00;223,10;-0,04;0,00;0,00;
0,00;0,00;220,70;-0,04;0,00;0,00;
0,00;0,00;218,30;-0,04;0,00;0,00;
0,00;0,00;215,90;-0,04;0,00;0,00;
0,00;0,00;213,50;-0,09;0,00;0,00;
0,00;0,00;211,10;-0,04;0,00;0,00;
0,00;0,00;208,70;-0,04;0,00;0,00;
0,00;0,00;206,30;-0,09;0,00;0,00;
0,00;0,00;203,90;-0,09;0,00;0,00;
0,00;0,00;201,50;-0,04;0,00;0,00;
0,00;0,00;199,10;-0,04;0,00;0,00;
0,00;0,00;196,70;-0,04;0,00;0,00;
0,00;0,00;194,30;-0,09;0,00;0,00;
0,00;0,00;191,90;-0,09;0,00;0,00;
0,00;0,00;189,50;-0,04;0,00;0,00;
0,00;0,00;187,10;-0,09;0,00;0,00;
0,00;0,00;184,70;-0,13;0,00;0,00;
0,00;0,00;182,30;-0,09;0,00;0,00;
0,00;0,00;179,90;-0,09;0,00;0,00;
0,00;0,00;177,50;-0,04;0,00;0,00;
0,00;0,00;175,10;-0,04;0,00;0,00;
0,00;0,00;172,70;-0,09;0,00;0,00;
0,00;0,00;170,30;-0,09;0,00;0,00;
0,00;0,00;167,90;-0,04;0,00;0,00;
0,00;0,00;165,50;-0,04;0,00;0,00;
0,00;0,00;163,10;-0,04;0,00;0,00;
0,00;0,00;160,70;-0,04;0,00;0,00;
0,00;0,00;153,50;-0,09;0,00;0,00;
0,00;0,00;151,10;-0,04;0,00;0,00;
0,00;0,00;148,70;-0,04;0,00;0,00;
0,00;0,00;146,30;-0,09;0,00;0,00;
0,00;0,00;143,90;-0,09;0,00;0,00;
0,00;0,00;141,50;-0,09;0,00;0,00;
0,00;0,00;139,10;-0,04;0,00;0,00;
0,00;0,00;136,70;-0,04;0,00;0,00;
0,00;0,00;134,30;-0,09;0,00;0,00;
0,00;0,00;131,90;-0,04;0,00;0,00;
0,00;0,00;129,50;-0,04;0,00;0,00;
0,00;0,00;127,10;-0,09;0,00;0,00;
0,00;0,00;124,70;-0,04;0,00;0,00;
0,00;0,00;122,30;-0,09;0,00;0,00;
0,00;0,00;119,90;-0,09;0,00;0,00;
0,00;0,00;117,50;-0,04;0,00;0,00;
0,00;0,00;115,10;-0,09;0,00;0,00;
0,00;0,00;112,70;-0,04;0,00;0,00;
0,00;0,00;107,90;-0,04;0,00;0,00;
0,00;0,00;105,50;-0,09;0,00;0,00;
0,00;0,00;103,10;-0,04;0,00;0,00;
0,00;0,00;100,70;-0,04;0,00;0,00;
0,00;0,00;98,30;-0,04;0,00;0,00;
0,00;0,00;95,90;-0,04;0,00;0,00;
0,00;0,00;93,50;-0,09;0,00;0,00;
0,00;0,00;91,10;0,04;0,00;0,00;
0,00;0,00;88,70;-0,04;0,00;0,00;
0,00;0,00;86,30;-0,09;0,00;0,00;
0,00;0,00;83,90;-0,09;0,00;0,00;
0,00;0,00;81,50;-0,04;0,00;0,00;
0,00;0,00;76,70;-0,04;0,00;0,00;
0,00;0,00;74,30;-0,09;0,00;0,00;
0,00;0,00;71,90;-0,04;0,00;0,00;
0,00;0,00;67,10;-0,09;0,00;0,00;
0,00;0,00;64,70;-0,09;0,00;0,00;
0,00;0,00;62,30;-0,09;0,00;0,00;
0,00;0,00;59,90;-0,04;0,00;0,00;
